"","X","id","DistrictId","Z","A","D","Y"
"540",540,"290300",4,0,0,1,0
"541",541,"4403310",4,1,1,1,0
"543",543,"259700",4,1,1,1,2000
"544",544,"310400",4,0,1,0,0
"545",545,"259700",4,1,1,1,0
"546",546,"275100",4,0,1,1,400
"548",548,"302000",4,1,0,0,2100
"549",549,"259700",4,1,1,1,2000
"550",550,"286800",4,1,1,1,2000
"551",551,"286800",4,1,1,1,650
"553",553,"259800",4,1,0,1,5000
"554",554,"4403330",4,0,0,0,4000
"555",555,"4403060",4,0,0,1,950
"556",556,"259800",4,1,0,1,840
"557",557,"269100",4,1,0,1,5500
"558",558,"266700",4,1,0,1,0
"559",559,"275600",4,1,0,1,1500
"560",560,"264400",4,1,1,1,6000
"561",561,"266700",4,1,0,1,2500
"562",562,"266700",4,0,0,1,0
"564",564,"291600",4,0,0,0,0
"565",565,"266700",4,0,0,0,700
"566",566,"263700",4,1,1,1,0
"567",567,"263700",4,1,1,1,0
"568",568,"285900",4,1,0,0,3000
"569",569,"311400",4,0,0,0,0
"570",570,"263700",4,1,1,0,0
"571",571,"328600",4,0,0,0,3000
"572",572,"278600",4,1,1,1,500
"573",573,"287800",4,1,1,1,200
"574",574,"4401290",4,1,1,1,6000
"575",575,"283000",4,0,0,1,600
"576",576,"269100",4,1,0,1,2000
"577",577,"275500",4,1,1,1,105000
"578",578,"259800",4,0,0,0,7000
"579",579,"312500",4,0,0,0,24000
"580",580,"269100",4,0,0,0,2000
"581",581,"284400",4,1,0,1,0
"582",582,"258000",4,0,0,1,14000
"583",583,"258000",4,0,0,1,14000
"584",584,"258000",4,0,0,0,14000
"585",585,"258000",4,1,0,0,9000
"586",586,"258000",4,1,0,1,9000
"587",587,"263700",4,0,1,1,2000
"588",588,"268900",4,1,0,1,800
"589",589,"268900",4,1,0,1,45000
"590",590,"315900",4,0,1,0,1000
"592",592,"268500",4,1,1,1,500
"593",593,"279300",4,1,0,0,8000
"594",594,"265600",4,1,0,0,7000
"595",595,"303500",4,1,0,1,0
"596",596,"4403210",4,0,0,0,900
"597",597,"285900",4,0,0,0,950
"598",598,"329200",4,1,1,1,7000
"599",599,"263700",4,1,1,1,0
"600",600,"286900",4,1,1,1,700
"601",601,"259300",4,0,0,0,5500
"602",602,"288700",4,0,0,0,0
"603",603,"287300",4,1,0,1,11000
"604",604,"263700",4,1,1,1,1500
"605",605,"288800",4,0,1,1,7000
"606",606,"343400",4,0,0,0,2
"609",609,"258900",4,0,0,0,700
"610",610,"266700",4,0,0,0,21000
"612",612,"4403340",4,1,0,1,1500
"613",613,"312300",4,1,0,1,0
"614",614,"4403430",4,0,0,0,1000
"615",615,"311400",4,1,0,1,10000
"616",616,"259100",4,1,1,1,1500
"617",617,"286100",4,1,1,1,200
"618",618,"259600",4,1,1,1,1000
"619",619,"259600",4,1,1,1,200
"620",620,"4403480",4,0,0,1,6300
"621",621,"328600",4,1,0,1,7000
"622",622,"286100",4,1,1,1,200
"623",623,"286100",4,1,1,1,200
"624",624,"326400",4,0,1,1,1200
"626",626,"292100",4,0,1,1,900
"627",627,"278500",4,1,1,1,4500
"628",628,"328600",4,1,0,1,16000
"629",629,"291700",4,1,1,0,0
"630",630,"327600",4,1,1,0,4000
"631",631,"4401290",4,0,1,0,6000
"632",632,"286100",4,1,1,0,200
"633",633,"287200",4,1,1,1,14000
"634",634,"278600",4,1,1,0,500
"635",635,"288600",4,0,1,1,7000
"636",636,"264400",4,1,1,1,8000
"637",637,"258900",4,0,0,0,700
"639",639,"312300",4,1,0,1,0
"640",640,"312500",4,1,0,1,1e+05
"642",642,"303500",4,0,0,0,5200
"643",643,"4403360",4,0,1,1,0
"644",644,"327300",4,0,1,0,0
"645",645,"288700",4,0,0,0,0
"646",646,"306500",4,1,1,0,700
"647",647,"287700",4,1,0,1,0
"648",648,"274800",4,1,1,0,0
"649",649,"284000",4,1,1,1,0
"650",650,"288500",4,1,0,1,2000
"651",651,"287400",4,0,0,0,0
"652",652,"289000",4,1,0,1,15700
"653",653,"4403360",4,0,1,0,1300
"654",654,"292300",4,0,0,0,0
"655",655,"293700",4,0,0,0,0
"656",656,"329900",4,1,1,0,0
"657",657,"346300",4,0,0,0,2000
"658",658,"259800",4,0,0,1,700
"659",659,"286500",4,1,1,1,0
"660",660,"286500",4,1,1,1,0
"661",661,"292600",4,0,0,0,1700
"662",662,"275500",4,1,1,1,1e+05
"663",663,"305900",4,0,0,1,200
"664",664,"292600",4,1,0,1,1700
"665",665,"287800",4,1,1,1,1500
"666",666,"4403330",4,1,0,1,5500
"667",667,"4403340",4,0,0,0,2500
"668",668,"327600",4,1,1,0,1000
"669",669,"315900",4,0,1,0,57000
"670",670,"269100",4,0,0,0,2000
"671",671,"258000",4,0,0,1,0
"672",672,"4403360",4,1,1,1,100
"676",676,"284400",4,0,0,0,1500
"677",677,"310200",4,1,1,1,5500
"678",678,"277600",4,1,1,1,700
"679",679,"264400",4,1,1,1,5000
"680",680,"337000",4,1,0,0,6000
"681",681,"291800",4,1,0,1,1000
"682",682,"346100",4,0,1,1,5000
"684",684,"294300",4,0,0,1,0
"685",685,"285700",4,0,0,0,500
"686",686,"294300",4,0,0,0,0
"688",688,"294300",4,1,0,1,0
"689",689,"284500",4,1,1,1,0
"690",690,"4403330",4,1,0,1,2000
"692",692,"292600",4,0,0,0,700
"693",693,"4403410",4,1,1,1,0
"694",694,"327500",4,0,0,1,800
"695",695,"292600",4,0,0,0,1000
"696",696,"292600",4,1,0,1,1000
"698",698,"285900",4,0,0,1,950
"699",699,"285900",4,1,0,1,2500
"700",700,"4403540",4,0,0,0,2000
"701",701,"4403690",4,1,1,0,5200
"702",702,"285900",4,1,0,1,4000
"704",704,"290700",4,0,1,0,500
"705",705,"330200",4,1,1,1,0
"706",706,"290000",4,0,0,1,0
"707",707,"346300",4,0,0,0,2
"708",708,"263700",4,1,1,1,0
"709",709,"291800",4,0,0,1,0
"710",710,"326200",4,0,0,0,5700
"711",711,"258900",4,0,0,0,1000
"712",712,"327500",4,1,0,1,6500
"713",713,"291800",4,0,0,0,0
"714",714,"259800",4,0,0,1,300
"716",716,"303300",4,0,0,0,2000
"719",719,"303300",4,1,0,1,1500
"720",720,"286100",4,1,1,1,300
"721",721,"293600",4,1,0,1,500
"722",722,"279300",4,0,0,0,1500
"723",723,"4403310",4,1,1,0,2000
"724",724,"287300",4,1,0,1,1042
"725",725,"4403290",4,1,1,1,3000
"726",726,"328900",4,1,1,1,0
"727",727,"290700",4,0,1,0,2400
"728",728,"329900",4,1,1,1,6456
"729",729,"278500",4,0,1,1,81043
"730",730,"287400",4,0,0,1,4000
"731",731,"307800",4,1,1,1,1500
"732",732,"264400",4,0,1,1,8000
"733",733,"306500",4,1,1,1,700
"734",734,"292100",4,1,1,1,900
"735",735,"286100",4,1,1,1,300
"736",736,"286800",4,1,1,1,2000
"737",737,"306500",4,1,1,1,5200
"738",738,"346100",4,0,1,0,5000
"739",739,"306500",4,1,1,1,5200
"741",741,"290700",4,0,1,0,2000
"742",742,"328600",4,0,0,0,0
"743",743,"346000",4,1,0,1,5000
"744",744,"275100",4,1,1,1,0
"745",745,"265500",4,0,0,0,2100
"746",746,"287100",4,0,1,0,200
"747",747,"306300",4,1,1,1,1750
"748",748,"306300",4,1,1,1,500
"749",749,"292600",4,1,0,1,700
"751",751,"327500",4,1,0,1,4000
"752",752,"286700",4,0,0,1,3000
"753",753,"291700",4,1,1,1,0
"754",754,"286800",4,1,1,1,3220
"755",755,"4405000",4,1,1,1,18000
"756",756,"291700",4,1,1,0,0
"757",757,"303500",4,0,0,1,0
"758",758,"303500",4,1,0,1,0
"759",759,"4405000",4,1,1,1,10000
"760",760,"326000",4,1,1,1,1200
"761",761,"312200",4,0,0,0,0
"762",762,"264400",4,1,1,1,19000
"763",763,"327100",4,1,1,1,0
"764",764,"265600",4,0,0,0,43000
"765",765,"292200",4,1,1,1,0
"766",766,"278500",4,1,1,1,5499
"767",767,"4401080",4,0,1,1,400
"768",768,"346400",4,1,1,1,5000
"769",769,"4404130",4,1,1,0,1500
"770",770,"284500",4,1,1,1,500
"771",771,"4403600",4,0,0,0,1100
"772",772,"301700",4,0,1,1,500
"773",773,"301700",4,1,1,1,200
"774",774,"307600",4,1,1,1,10000
"775",775,"286100",4,1,1,1,300
"777",777,"275000",4,1,0,1,950
"778",778,"259700",4,1,1,1,2000
